date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,10:40,10:40 AM,1518.21,1517.01,1517.022,103,156253.23,3,1519.99,1516,1517.672,14152,21478089.3163,280,1517.01,1518.21,1519.694,1516.556,-0.00014038695389966975,0.00015750283538056226
20181123,10:41,10:41 AM,1517,1517,1517,67,101639,2,1517.95,1515.75,1516.832,7424,11260959.7303,153,1517,1517,1517.09,1516.44,-0.00015488701486579204,-0.0003960636153292339
20181123,10:42,10:42 AM,1517,1517,1517,136,206312,4,1518.175,1515,1516.565,8918,13524727.5663,236,1517,1517,1517.334,1516.552,-0.00015488701486579204,-0.000572018665733471
20181123,10:43,10:43 AM,-1,-1,-1,0,0,0,1517.54,1514.304,1515.776,10837,16426466.6947,366,,,1516.9,1516,,-0.001091975724793072
20181123,10:44,10:44 AM,1515.54,1515.54,1515.54,100,151554,1,1517.99,1515.27,1516.407,8148,12355687.6667,150,1515.54,1515.54,1515.53,1516.55,-0.0011171637880749762,-0.0006761418790813613
20181123,10:45,10:45 AM,1513.5,1513.5,1513.5,100,151350,1,1517.13,1511.778,1513.871,19342,29281291.3634,559,1513.5,1513.5,1516.42,1513.9,-0.0024617148958466554,-0.002347385354081464
20181123,10:46,10:46 AM,1514.01,1514.01,1514.01,100,151401,1,1515.87,1513.433,1514.805,7682,11636733.9214,191,1514.01,1514.01,1514.26,1515.75,-0.0021255771189037354,-0.0017318721815064843
20181123,10:47,10:47 AM,-1,-1,-1,0,0,0,1516.42,1513.51,1514.7,6056,9173025.3382,176,,,1515.87,1514.191,,-0.0018010679878452277
20181123,10:48,10:48 AM,-1,-1,-1,0,0,0,1515.723,1513.051,1514.324,7860,11902585.7221,179,,,1514.274,1513.767,,-0.0020488548753058115
20181123,10:49,10:49 AM,1513.795,1513.795,1513.795,10,15137.95,1,1515,1512.3,1513.469,11744,17774184.86,241,1513.795,1513.795,1513.64,1514.641,-0.0022672822601639345,-0.002612306441206921
20181123,10:50,10:50 AM,-1,-1,-1,0,0,0,1515.719,1513,1514.193,6806,10305594.7403,176,,,1514.48,1515,,-0.002135184881309428
20181123,10:51,10:51 AM,1515.99,1515.99,1515.99,23,34867.77,1,1516.5,1513.5,1515.383,8312,12595867.1159,177,1515.99,1515.99,1514.16,1516.325,-0.0008205716319488351,-0.001350965742803771
20181123,10:52,10:52 AM,1517.42,1517,1517.166,175,265504,3,1518.29,1515.84,1516.969,12100,18355330.8989,232,1517,1517.37,1516.5,1517.25,-0.000045477463939310646,-0.0003057795632492122
20181123,10:53,10:53 AM,1516.86,1516.77,1516.78,112,169879.32,4,1517.99,1515.67,1517.036,7346,11144143.6642,187,1516.86,1516.77,1517.5,1516.76,-0.0002998876245274643,-0.0002616260487283027
20181123,10:54,10:54 AM,-1,-1,-1,0,0,0,1519.659,1515.61,1518.151,9452,14349565.4139,257,,,1516.092,1519.17,,0.0004731675138210877
20181123,10:55,10:55 AM,1519.14,1519.14,1519.14,100,151914,1,1520.4,1518.45,1519.354,9872,14999063.934,300,1519.14,1519.14,1519.25,1520.045,0.0012555734609340017,0.0012659537521591063
20181123,10:56,10:56 AM,1519,1518.71,1518.974,110,167087.1,4,1519.907,1517.709,1518.866,9125,13859654.1934,197,1519,1518.71,1519.907,1518.65,0.0011461639100073706,0.0009443580046038228
20181123,10:57,10:57 AM,-1,-1,-1,0,0,0,1519.35,1517.01,1518.302,4833,7337952.2919,199,,,1518.21,1518.42,,0.000572677673412872
